Company_Name,Country,City,Latitude,Longitude,Technology,Core_Equipment,Material,Date_Founded,Website,YouTube_Video,Status,Description
Black Buffalo 3D,USA,East Stroudsburg PA,41.0357,-75.1561,Gantry,NexCon 3D,concrete,,https://bb3d.io/,https://www.youtube.com/watch?v=s8Xz9ZxVSAU,Active,
Constructions-3D,France,Bruay-sur-lEscaut,50.3886,3.5217,Robotic Arm,MaxiPrinter 3D,"concrete, mortar",,https://www.constructions-3d.com/,https://www.youtube.com/watch?v=SwaDq2XdziE,Active,
BetAbram,Slovenia,Ljubljana,46.0662,14.4497,Gantry,"BetAbram P1, P2, P3",concrete,,https://betabram.com/,https://www.youtube.com/watch?v=ch8Dqdr-U8g,Active,
Alquist 3D,USA,Greeley CO,40.4214,-104.7382,Gantry / Robotic Arm,"COBOD, KUKA, Alquist",concrete,,https://www.alquist3d.com/,https://www.youtube.com/watch?v=s0wpUP21_Tg,Active,
MudBots,USA,Tooele UT,40.5316,-112.3404,Gantry,MudBots,"concrete, adobe, mortar",,https://www.mudbots.com/,https://www.youtube.com/watch?v=A_5QRmtbntM,Active,
Total Kustom,USA,Minneapolis MN,44.9398,-93.1885,Gantry,StroyBot 6.2,concrete,,http://www.totalkustom.com,https://www.youtube.com/watch?v=O2vkBmsRn2I,Active,
BatiPrint3D,France,Nantes,47.2708,-1.4666,Robotic Arm,Batiprint3D,"concrete, polyurethane foam",,https://www.batiprint3d.com/en,https://www.youtube.com/watch?v=yGFnaqDksQY,Active,
BeMore3D,Spain,Valencia,39.5128,-0.4246,Gantry,"BEM PRO, CUBE, SMART","concrete, mortar",,https://bemore3d.com/,https://www.youtube.com/watch?v=GYx0ij4nbKA,Active,
Printed Farms,USA,West Palm Beach FL,26.6572,-80.2595,Gantry,COBOD BOD2,concrete,,https://printedfarms.com/,https://www.youtube.com/watch?v=pFEAk_Hk2xw,Active,
Hyperion Robotics,Finland,Helsinki,60.2128,24.7630,Robotic Arm,KUKA,low-carbon concrete,,https://www.hyperionrobotics.com/,https://www.youtube.com/watch?v=Vj5IeEIjpJs,Active,
Vertico,Netherlands,Eindhoven,51.4416,5.4697,Robotic Arm,ABB robots on gantry track,"concrete, UHPC",,https://www.vertico.com/,https://www.youtube.com/watch?v=aSDcKmfkPHc,Active,
Tvasta,India,Chennai,12.8996,80.2209,Gantry / Robotic Arm,Tvasta 3DCP,concrete,,https://www.tvasta.construction/,https://www.youtube.com/watch?v=TxZ-KBgAgvg,Active,
Contour3D,Australia,Sydney NSW,-33.9850,151.1319,Gantry,Contour3D system,ContourCrete (proprietary),,https://contour3d.com.au/,https://www.youtube.com/watch?v=x5spna1todE,Active,
Luyten 3D,Australia,Melbourne VIC,-37.8136,144.9631,Robotic Arm / Tower Crane,Platypus / Crane 3DP,"concrete, geopolymer",,https://www.luyten3d.com/,https://www.youtube.com/watch?v=xzqdAPuyxmQ,Active,
Pikus 3D,USA,Salt Lake City UT,40.7608,-111.8910,Gantry,Pikus 3DCP,concrete,,https://www.pikus3d.com/,https://www.youtube.com/watch?v=XMKSU3QiFNI,Active,
X-Hab 3D,USA,State College PA,40.7934,-77.8600,Gantry,X-Hab Concrete Printer,concrete,,https://www.xhab3d.com/,https://www.youtube.com/watch?v=_T8_COZiaDI,Active,
Diamond Age,USA,Phoenix AZ,33.4484,-112.0740,Full-stack Robotics,Diamond Age system,concrete composite,,https://www.diamondage3d.com/,https://www.youtube.com/watch?v=To7QZpdFEeU,Liquidated,
Aeditive,Germany,Hamburg,53.7300,10.0236,Robotic Arm,"KUKA, Concrete Aeditor",concrete,,https://www.aeditive.de/en/,https://www.youtube.com/watch?v=F_HL8diusK4,Active,
PERI 3D Construction,Germany,Weissenhorn,48.3056,10.1456,Gantry,COBOD BOD2,concrete,,https://www.peri3dconstruction.com/,https://www.youtube.com/watch?v=3qCBpSiNWWc,Active,
Nidus 3D,Canada,Kingston ON,44.2420,-76.4832,Gantry,COBOD BOD2,concrete,,https://nidus3d.com/,https://www.youtube.com/watch?v=7PcT8sWOp_s,Active,
3DCP Group,Denmark,Holstebro,56.3544,8.6158,Gantry,COBOD BOD2,concrete,,https://3dcp.dk/,https://www.youtube.com/watch?v=X6Kh7R0PRU8,Active,
Rebuild 3DCP,Poland,Bialystok,53.1070,23.1934,Gantry,COBOD BOD2,concrete,,https://www.rebuild3dcp.com/,https://www.youtube.com/watch?v=WwHrL2WoCFg,Active,
COBOD Asia Pacific,Malaysia,Subang Jaya,3.0451,101.5648,Gantry,COBOD BOD2,"concrete, geopolymer",,https://cobod.com/,https://www.youtube.com/watch?v=qAqzTCDEDcg,Active,
Siam Cement Group (SCG),Thailand,Bangkok,13.8058,100.5378,Gantry,COBOD BOD2,concrete,,https://www.scg.com/,https://www.youtube.com/watch?v=otXDFvNOdKI,Active,
14Trees / Mvule Gardens,Kenya,Kilifi,-3.6537,39.8399,Gantry,COBOD BOD2 / Iroko,concrete,,https://mvulegardens.com,https://www.youtube.com/watch?v=RRgCMmq4vzA,Active,
ConConcreto,Colombia,Medellin,6.1845,-75.5797,Gantry,COBOD BOD2,concrete,,https://conconcreto.com,https://www.youtube.com/watch?v=GOJGO5_YhmU,Active,
ABYAN,Kuwait,Kuwait City,29.3698,47.9710,Gantry,COBOD BOD2,concrete,,https://abyan.com.kw/,https://www.youtube.com/watch?v=IkNOxOqMG88,Active,
Orascom Construction,UAE,Dubai,25.2139,55.2825,Gantry,"COBOD BOD2, BOD2L",concrete,,https://orascom.com/,https://www.youtube.com/watch?v=GfD8uyHejL8,Active,
HTL.tech (Harcourt),Ireland / UK,Dublin,53.3325,-6.2608,Gantry,COBOD BOD2,concrete,,https://www.htl.tech/,https://www.youtube.com/watch?v=bQYtjT-5DB0,Active,
Fortex,Australia,Melbourne VIC,-37.8304,144.9535,Gantry,COBOD BOD2,concrete,,https://fortexsolutions.com.au/,https://www.youtube.com/watch?v=ijzkm05oHn8,Active,
POWERBUILD,Angola,Luanda,-8.9889,13.2058,Gantry,COBOD BOD2,concrete,,https://power2build.co.ao/pt/,https://www.youtube.com/watch?v=zRKVQ6SNLlI,Active,
CEMEX,Mexico,Monterrey,25.6497,-100.3573,Gantry,COBOD BOD2,concrete,,https://www.cemex.com/,https://www.youtube.com/watch?v=nzo-xXr5KzU,Active,
Dar Al Arkan,Saudi Arabia,Riyadh,24.6915,46.7156,Gantry,COBOD BOD2,concrete,,https://www.daralarkan.com/,https://www.youtube.com/watch?v=mTsFQIJ4CZA,Active,
Skecoplant,South Korea,Seoul,37.4883,126.9870,Gantry,COBOD BOD2,concrete,,https://www.skecoplant.com/,""",img:""",Active,
Hanwha E&C,South Korea,Seoul,37.5678,126.9865,Gantry,COBOD BOD2,concrete,,https://m.hwenc.com/,""",img:""",Active,
Tianhe Construction,China,Suzhou,31.4044,120.9651,Gantry,"COBOD BOD2, BOD2L",concrete,,https://en.thgroup.com.cn/,""",img:""",Active,
Shanghai Construction Group,China,Shanghai,31.2461,121.4922,Various,Unknown,concrete,,http://www.scg.com.cn,https://www.youtube.com/watch?v=KIYCM_V1eRY,Active,
Kajima Corporation,Japan,Tokyo,35.6733,139.7577,Robotic Arm,Kajima 3D Printing System,concrete,,https://www.kajima.co.jp/,https://www.youtube.com/watch?v=nzKNhpqpYhY,Active,
Obayashi Corporation,Japan,Tokyo,35.6349,139.7434,Robotic Arm,Obayashi system,concrete,,https://www.obayashi.co.jp/,https://www.youtube.com/watch?v=amz6mkYeUiI,Active,
Sika AG,Switzerland,Baar,47.1869,8.5181,Materials Supplier,n/a,Sikacrete-300 3DP,,https://www.sika.com/,https://www.youtube.com/watch?v=Dv78kiQad9c,Active,
Holcim,Switzerland,Zug,47.1660,8.5155,Materials Supplier,n/a,TectorPrint concrete ink,,https://www.holcim.com/,https://www.youtube.com/watch?v=2zl6cjajf9c,Active,
Heidelberg Materials,Germany,Heidelberg,49.4133,8.6774,Materials Supplier,n/a,i.tech 3D concrete,,https://www.heidelbergmaterials.com/en,https://www.youtube.com/watch?v=UQePQF_b0a8,Active,
Saint-Gobain Weber,Netherlands,Eindhoven,51.4363,5.4598,Robotic Arm,ABB,Weber 3D mortar,,https://www.3d.weber/,https://www.youtube.com/watch?v=dZvZg68WwFM,Active,
Guanli Intelligent Technology,China,Hangzhou,30.1903,120.4376,Gantry,Guanli,concrete,,https://guanli3d.net,https://www.youtube.com/watch?v=lfWct1foyXU,Active,
MiCoB,India,Bangalore,12.9716,77.5946,Gantry / Robotic Arm,MiCoB 3DCP,concrete,,https://micob.in/,https://www.youtube.com/watch?v=HdtOmXp49rA,Active,
Ekaksha Robotic Abstracts,India,Mumbai,19.1200,72.8890,Gantry,3DPC,concrete,,https://www.ekakshalimited.com/,""",img:""https://static.wixstatic.com/media/32aafe_cb8b6264a8da463db353bc9ea1d0a262~mv2.jpeg/v1/fill/w_920,h_640,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/WhatsApp%20Image%202024-08-27%20at%2016_04_41.jpeg",Active,
3D Print Home,Spain,Barcelona,41.3155,2.0692,Gantry,BEM PRO,concrete,,https://www.3dprinthome.es/,""",img:""https://www.3dprinthome.es/assets/img/casa-sobre-nosotros.jpg",Active,
WePrintHomes,USA,Sedona AZ,34.8626,-111.7873,Gantry,COBOD BOD2,concrete,,https://weprinthomes.com/,https://www.youtube.com/watch?v=dMlUaCYYLPs,Active,
Cementos Progreso,Guatemala,Guatemala City,14.6030,-90.5101,Gantry,COBOD BOD2,concrete,,https://www.cempro.com/,https://www.youtube.com/watch?v=iQEsANlBNX8,Active,
KUKA,Germany,Augsburg,48.3682,10.9358,Robot Supplier,KUKA robots,n/a (robot supplier),,https://www.kuka.com,https://www.youtube.com/watch?v=M_-21chO-Uo,Active,
ABB,Switzerland,Zurich,47.4115,8.5415,Robot Supplier,ABB robots,n/a (robot supplier),,https://new.abb.com/products/robotics/robots,https://www.youtube.com/watch?v=AfjOFu_zDHg,Active,
IAAC,Spain,Barcelona,41.3968,2.1944,R&D / Academic,"KUKA, ABB",various,,https://iaac.net/,https://www.youtube.com/watch?v=thTdyy9lSfc,Active,
KAMP C,Belgium,Westerlo,51.1125,4.8948,Gantry,"COBOD BOD2, WASP",concrete,,https://www.kampc.be/,https://www.youtube.com/watch?v=lZh8E6zZdzk,Active,
SCIB,Malaysia,Kuching,1.5638,110.3857,Gantry,COBOD BOD2,concrete,,https://scib.listedcompany.com/,""",img:""https://cobod.com/wp-content/uploads/2022/10/dji-0180.jpg",Active,
Bakrie and Brothers,Indonesia,Jakarta,-6.2413,106.8611,Gantry,"COBOD BOD2, BOD2L",concrete,,https://bakrie-brothers.com/,https://www.youtube.com/watch?v=7v63PuuKeP0,Active,
GUtech Oman,Oman,Muscat,23.6363,58.0459,R&D / Academic,COBOD BOD2,concrete,,https://www.gutech.edu.om/,https://www.youtube.com/watch?v=Ktni6-Jsq4s,Active,
AC3D,USA,San Francisco CA,37.7749,-122.4194,Gantry / Robotic Arm,Codemason 2.0,concrete,,https://ac3d-us.com/,https://www.youtube.com/watch?v=atMBYCu8M0U,Active,
ETH Zurich - NCCR Digital Fabrication,Switzerland,Zurich,47.3769,8.5417,R&D / Academic,"Robotic systems, Impact Printing","concrete, earth-based",,https://dfab.ch/,https://www.youtube.com/watch?v=4mceXo6wJ2U,Active,
TU Eindhoven - 3D Concrete Printing,Netherlands,Eindhoven,51.4484,5.4908,R&D / Academic,"Gantry, Robotic Arm",concrete,,https://www.tue.nl/en/research/research-groups/structural-engineering-and-design/3d-concrete-printing,https://www.youtube.com/watch?v=Lf2Io4sECHg,Active,
Loughborough University - 3DCP,UK,Loughborough,52.7654,-1.2277,R&D / Academic,Gantry,concrete,,https://www.lboro.ac.uk/,https://www.youtube.com/watch?v=3XaXqLIQbr8,Active,
TU Braunschweig / TU Munich - AMC,Germany,Braunschweig,52.2733,10.5261,R&D / Academic,Robotic systems,"concrete, reinforced concrete",,https://www.tu-braunschweig.de/en/amc,https://www.youtube.com/watch?v=AQ_E5Qx3mcM,Active,
DTU Copenhagen,Denmark,Copenhagen,55.7867,12.5232,R&D / Academic,"CyBe, WASP",concrete,,https://www.dtu.dk/english/,https://www.youtube.com/watch?v=G3umwj2kqc4,Active,
Riga Technical University,Latvia,Riga,56.9526,24.0817,R&D / Academic,KUKA,concrete,,https://www.rtu.lv/en/,https://www.youtube.com/watch?v=74WOVc7-tAg,Active,
Texas A&M University,USA,College Station TX,30.6222,-96.3572,R&D / Academic,Various,concrete,,https://www.tamu.edu/,https://www.youtube.com/watch?v=_93rna0YABg,Active,
TU Braunschweig - IRP,Germany,Braunschweig,52.2733,10.5261,R&D / Academic,"COBOD BOD2, Staubli",concrete,,https://www.rob.cs.tu-bs.de/,https://www.youtube.com/watch?v=ctKbGHpAzso,Active,
CITA Copenhagen,Denmark,Copenhagen,55.6813,12.5985,R&D / Academic,"COBOD BOD2, Staubli",concrete,,https://royaldanishacademy.com/CITA,https://www.youtube.com/watch?v=VE4D2LcH9dE,Active,
ChangeMaker3D,UK,Worcester,52.1920,-2.2216,Gantry,Printfrastructure system,"concrete, graphene-enhanced concrete",,https://changemaker3d.co.uk/,https://www.youtube.com/watch?v=wAqXo9Ysfqw,Active,
Architectural Association (AA),UK,London,51.5194,-0.1350,R&D / Academic,KUKA robotic arms,"concrete, polymers, earth-based",,https://www.aaschool.ac.uk/,https://www.youtube.com/watch?v=5s41-H8pL6Q,Active,
BAM Nuttall,UK,Glasgow,55.8672,-4.2420,Robotic Arm,Weber Beamix 3DCP,concrete,,https://www.bamnuttall.co.uk/,https://www.youtube.com/watch?v=GKA1oE92YZs,Active,
Northumbria University,UK,Newcastle,54.9783,-1.6178,R&D / Academic,Luyten Platypus,"concrete, sustainable mixes",,https://www.northumbria.ac.uk/,""",img:""https://www.offsitehub.co.uk/wp-content/uploads/2025/01/Dr-Mohammadali-Rezazadeh-Natalie-Wadley-and-Ahmed-Mahil.jpg",Active,
LAMÁQUINA (Noumena),Spain,Barcelona,41.4036,2.1744,Robotic Arm,"ABB robotic arms, WASP printers","clay, concrete, biopolymers",,https://lamaquina.io/,https://www.youtube.com/watch?v=EuH4FE6upOg,Active,
